Group.1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length
Phylloscopus maforensis,NA,NA,NA,NA,NA,NA
Phylloscopus magnirostris,13.7,NA,3.1,3,19,66
Phylloscopus misoriensis,NA,NA,NA,NA,NA,NA
Phylloscopus montis,9.6,NA,2.9,2.6,15.4,50
Phylloscopus neglectus,9.2,NA,2.1,2.1,NA,49
Phylloscopus nitidus,12.3,NA,2.7,2.7,19,62
Phylloscopus occipitalis,12.9,NA,3.4,2.8,16.6,64
Phylloscopus ogilviegranti,10.4,NA,2.6,2.6,17.1,52.5
Phylloscopus olivaceus,13.2,NA,3.1,3.2,18.2,60
Phylloscopus omeiensis,12.3,6,2.5,2.4,17.2,57.5
Phylloscopus orientalis,12.1,NA,2.4,2.4,17.7,67
Phylloscopus plumbeitarsus,12.15,6.45,2.95,2.75,16.7,58.25
Phylloscopus poliocephalus,NA,NA,NA,NA,19.8,53
Phylloscopus poliogenys,10.2,NA,2.9,2.5,16.8,52
Phylloscopus presbytes,11.8,NA,2.4,2.6,20,57
Phylloscopus proregulus,9.6,NA,2.5,2.1,16.4,50
Phylloscopus pulcher,11.1,NA,2.1,2,18.6,61
Phylloscopus reguloides,10.9,NA,2.8,2.6,17.8,57
Phylloscopus ricketti,12.1,NA,2.6,2.7,16.2,54
Phylloscopus rotiensis,NA,NA,NA,NA,NA,NA
Phylloscopus ruficapilla,11.5,NA,2.8,2.3,19.3,NA
Phylloscopus sarasinorum,12.3,NA,2.5,2.8,20.6,57
Phylloscopus schwarzi,12.2,NA,3,3.2,20.7,60
Phylloscopus sibilatrix,NA,NA,NA,NA,NA,75.75
Phylloscopus sindianus,11,NA,2.2,2.1,18.1,52
Phylloscopus soror,12.55,6.8,3.25,2.85,16.5,56.5
Phylloscopus suaramerdu,25.1,7.2,2.6,3.1,20.9,56
Phylloscopus subaffinis,11.5,NA,2.3,2.3,18.2,50.5
Phylloscopus subviridis,10.3,NA,2.4,2,17.3,54
Phylloscopus sumatrensis,9.7,5.9,2.7,2.3,16.8,51
Phylloscopus tenellipes,12.05,6.5,2.7,2.85,17.7,60.25
Phylloscopus tephrocephalus,11.6,NA,3.1,2.6,17.4,54
Phylloscopus tristis,NA,NA,NA,NA,NA,NA
Phylloscopus trivirgatus,12.2,6.9,3,2.8,19.8,57
Phylloscopus trochiloides,NA,NA,NA,NA,NA,61.75
Phylloscopus trochilus,NA,NA,NA,NA,NA,65.25
Phylloscopus tytleri,12.4,NA,2.3,2.2,17.4,58.5
Phylloscopus umbrovirens,12,NA,NA,NA,20.3,56
Phylloscopus valentini,11.4,NA,3.3,2.9,17.7,55
Phylloscopus whistleri,11.7,NA,2.9,2.4,18.1,56
Phylloscopus xanthodryas,NA,NA,NA,NA,NA,NA
Phylloscopus xanthoschistos,10.7,NA,2.6,2.5,17.8,52
Phylloscopus yunnanensis,9.65,NA,2.3,2.05,15.15,52.5
Phytotoma raimondii,NA,NA,NA,NA,24.8,89
Phytotoma rara,17.6,NA,7.6,8.6,24.1,90
Phytotoma rutila,15.4,NA,6.4,7.2,22.4,87
Piaya cayana,NA,NA,NA,NA,NA,144.5
Piaya melanogaster,34.4,NA,8.4,NA,34.4,135
Piaya mexicana,30.8,16.9,7.55,9.6,34.95,147.95
Pica asirensis,NA,NA,NA,NA,NA,NA
Pica hudsonia,38.55,NA,11.5,12.8,48.85,202
Pica mauritanica,NA,NA,NA,NA,NA,NA
Pica nutalli,36.3,NA,12.1,13.1,46.4,188
Pica pica,NA,NA,NA,NA,NA,192.5
Picathartes gymnocephalus,34.5,NA,6.1,10.4,63.25,160.5
Picathartes oreas,39.4,NA,6.5,9.7,57.2,NA
Picoides arcticus,30.6,NA,10.2,7.4,22.1,129
Picoides canicapillus,16.8,NA,5,5.1,14,82
Picoides funebris,30.6,24.3,8.6,7.2,21.7,122.7
Picoides kizuki,14.15,11.6,4.35,4.3,13.65,82.5
Picoides maculatus,18.8,NA,5.1,5.8,14.5,83
Picoides moluccensis,14,NA,5.7,5.4,14.6,73
Picoides nanus,13.8,NA,4.1,4.3,13.5,76
Picoides ramsayi,18.2,NA,5.1,5.3,15.4,83
Picoides temminckii,15.95,12.8,4.8,4.6,14.55,77.5
Picoides tridactylus,27.9,NA,NA,NA,20.55,121.5
Piculus aurulentus,25.6,NA,7.1,NA,20,119
Piculus callopterus,22.8,17,8.5,5.45,22.25,110
Piculus chrysochloros,25,NA,NA,6.85,NA,NA
Piculus flavigula,21.5,NA,6.5,6.2,17.1,115
Piculus leucolaemus,21.8,16.1,6.4,5.85,18.9,120
Piculus litae,21.2,15.7,6.2,6.1,17.8,98
Piculus simplex,NA,NA,6.3,6.15,18.3,112.5
Picumnus albosquamatus,NA,NA,NA,4.85,12.35,52
Picumnus aurifrons,10.95,9.2,3.35,4.35,12.2,49
Picumnus castelnau,NA,NA,3.4,4.35,13.4,51.4
Picumnus cinnamomeus,12.2,10.4,3,NA,14,55.7
Picumnus cirratus,12.8,NA,4.3,5,12.7,53
Picumnus dorbignyanus,11.05,9.3,3.7,4.2,11.6,52.85
Picumnus exilis,11.1,NA,NA,4.8,11.1,48.3
Picumnus fulvescens,NA,NA,3.7,4.25,10.1,51.2
Picumnus fuscus,12.4,10.1,4.3,4.5,13.7,50.1
Picumnus granadensis,11.6,NA,4,4.9,12.2,56.5
Picumnus innominatus,11.9,NA,4.2,4.7,12.1,53
Picumnus lafresnayi,NA,NA,NA,NA,NA,51.3
Picumnus limae,11.1,9.8,3.4,4.5,11.4,52
Picumnus minutissimus,13.2,10.55,4.3,5.55,14.25,54.5
Picumnus nebulosus,11.8,8.5,3.3,4.3,NA,58
Picumnus nigropunctatus,11.6,9.5,3.9,4.5,11.7,47.9
Picumnus olivaceus,10.2,8.55,3.65,4.4,12.25,52.95
Picumnus pumilus,10.2,8.8,3,NA,11.35,50
Picumnus pygmaeus,12.5,NA,NA,NA,13,51.95
Picumnus rufiventris,NA,13.3,4.1,5.2,15.3,59
Picumnus sclateri,10.7,8.9,3.15,4.35,12.7,52
Picumnus spilogaster,11.6,NA,3.7,4.7,NA,54.5
Picumnus squamulatus,11.1,NA,4,4.4,12.8,51
Picumnus steindachneri,11.1,9,3.55,4.35,13.85,54.5
Picumnus subtilis,11.7,9.65,4.05,4.55,12.9,51.7
Picumnus temminckii,11.9,NA,4.1,4.6,12.4,54
Picumnus varzeae,11.4,9.5,3.5,4.8,13.1,51.8
Picus awokera,34.1,NA,8,6.9,25.2,140
Picus canus,38.4,NA,NA,NA,25.1,148
Picus chlorolophus,27.1,NA,6.8,6.8,21.9,128
Picus dedemi,NA,NA,9.5,8.6,28.8,133.2
Picus erythropygius,34.5,NA,8.8,9.3,26.8,155
Picus guerini,39.4,28,8.9,8.85,28.3,142.6
Picus puniceus,28.1,NA,7.2,7,19.4,121
Picus rabieri,35.2,25.65,9,8.55,28.9,134.5
Picus sharpei,41.1,30.5,9.1,8.5,30.55,155.5
Picus squamatus,47,NA,9.7,9.1,27.9,161
Picus vaillantii,38,NA,9,8.6,28.1,153
Picus viridanus,36,NA,9.1,8.8,26.5,136
Picus viridis,44.8,NA,NA,NA,28.2,164.5
Picus vittatus,33.2,NA,8.9,8.5,25.8,126.5
Picus xanthopygaeus,33.45,24.1,7.85,8.15,24.95,129.5
Piezorina cinerea,15.5,10.7,6.9,9.55,23.35,77.5
Pilherodius pileatus,91.5,NA,12.85,17.35,90.3,272.7
Pinarochroa sordida,15.75,NA,NA,NA,28.4,74.55
Pinarocorys erythropygia,17.2,NA,4,5.5,25.3,103
Pinarocorys nigricans,17.6,NA,4.5,5.8,27.4,114
Pinaroloxias inornata,13.9,NA,4.2,5.4,20.1,63
Pinarornis plumosus,23.45,12.05,5.05,5.25,27.5,115
Pinicola enucleator,NA,NA,NA,NA,NA,NA
Pionites leucogaster,29.5,NA,NA,NA,16.7,140
Pionites melanocephalus,29.6,NA,13.1,23.9,14.4,134
Pionites xanthomerius,27.95,23.7,12.3,24.65,18.05,133.95
Pionites xanthurus,26.7,24.5,13.6,24,16,139.9
Pionopsitta pileata,25.6,NA,11.5,17.6,14.2,141
Pionus chalcopterus,33.15,24.75,14.95,24.4,15.85,191.5
Pionus fuscus,31.45,23.85,14.7,24.3,18.3,164.5
Pionus maximiliani,33.1,NA,15.2,26.4,17.4,182
Pionus menstruus,NA,NA,NA,NA,NA,NA
Pionus reichenowi,25.5,22.1,13.5,22,15.3,169
Pionus senilis,NA,NA,13.7,24.3,NA,168
Pionus seniloides,30.15,25.05,14.25,26.55,20.25,189.35
Pionus sordidus,NA,NA,NA,NA,17.6,181
Pionus tumultuosus,29.8,NA,NA,NA,18.6,182.25
Pipile cujubi,36,NA,8.6,11.3,64.7,343
Pipile cumanensis,36.7,NA,NA,NA,61.5,340
Pipile grayi,31.55,16.75,11.55,13.1,56.65,322
Pipile jacutinga,37.7,NA,9.3,10.7,64.4,339
Pipile pipile,37.4,18.15,9.8,11.25,64.05,330
Pipilo chlorurus,15,NA,4.7,6.9,24.1,76
Pipilo erythrophthalmus,15.3,NA,NA,NA,27.1,82
Pipilo maculatus,17.1,10.2,6,7.9,28.7,86
Pipilo ocai,19.2,NA,6.2,8.2,30.8,87
Pipilo socorroensis,NA,NA,NA,NA,NA,NA
Pipra aureola,12.9,7.35,3.8,3.95,15.5,64.5
Pipra fasciicauda,NA,NA,NA,NA,NA,NA
Pipra filicauda,12.6,NA,4.5,3.9,15.7,65
Pipraeidea bonariensis,16.1,NA,NA,NA,22.5,90
Pipraeidea darwinii,NA,NA,NA,7.3,23.8,88
Pipraeidea melanonota,NA,NA,NA,NA,17.4,80.5
Pipreola arcuata,NA,NA,NA,NA,27.8,123
Pipreola aureopectus,NA,NA,5.3,NA,20.85,89.05
Pipreola chlorolepidota,NA,NA,NA,NA,17.35,74.9
Pipreola formosa,15.4,7.55,4.7,4.55,20.05,88
Pipreola frontalis,NA,NA,NA,NA,19.4,87.5
Pipreola intermedia,NA,NA,NA,NA,23.8,95
Pipreola jucunda,18.3,NA,6.3,5.7,21.9,97
Pipreola lubomirskii,17.1,9.4,5.8,5.1,21.55,92.5
Pipreola pulchra,17,NA,NA,NA,22.1,93.25
Pipreola riefferii,NA,NA,NA,NA,NA,NA
Pipreola squamipectus,14.9,7.65,5.15,4.3,18.15,83
Pipreola whitelyi,15.95,8.6,5.1,5,20.6,95.5
Piprites chloris,NA,NA,4.5,4.6,16.85,66
Piprites griseiceps,11.4,6.7,4.5,4.7,15.85,64
Piprites pileata,11.3,6.5,4.1,5,17.7,73
Piranga bidentata,20.9,NA,NA,NA,21.3,97
Piranga erythrocephala,13.95,NA,NA,NA,19,71
Piranga flava,19.55,NA,NA,NA,21.6,93.5
Piranga hepatica,19.7,NA,NA,NA,NA,95
Piranga leucoptera,NA,NA,NA,NA,18.3,73
Piranga ludoviciana,18.55,NA,NA,NA,19.85,96.85
Piranga olivacea,NA,NA,NA,NA,NA,NA
Piranga roseogularis,17,NA,NA,NA,20.2,80
Piranga rubra,NA,NA,NA,NA,NA,NA
Piranga rubriceps,17.1,NA,NA,NA,22.2,97.2
Pitangus sulphuratus,NA,NA,NA,NA,25.6,112
Pithecophaga jefferyi,85.6,55.6,21,49.35,134.6,591
Pithys albifrons,NA,NA,4.5,4.4,22.2,70
Pithys castaneus,18.6,11.95,4.85,5.3,23.85,79.5
Pitohui cerviniventris,NA,NA,NA,NA,NA,NA
Pitohui dichrous,29,NA,7.7,8.5,31.5,107
Pitohui kirhocephalus,31,NA,8.8,8.9,32.5,120
Pitohui uropygialis,29.75,19.1,8.45,9.25,32.8,120.5
Pitta anerythra,26.5,NA,7.4,10.2,42.3,98
Pitta angolensis,NA,NA,7.5,NA,36.1,NA
Pitta brachyura,23.3,NA,6.7,7.5,36.5,105
Pitta elegans,23.3,NA,7,8,37.2,99
Pitta iris,26.15,NA,7,8.95,NA,105.25
Pitta maxima,32.9,NA,10.4,12.9,55.8,144
Pitta megarhyncha,37.1,NA,9.7,11.3,38,115
Pitta moluccensis,NA,NA,NA,NA,41.5,123
Pitta morotaiensis,32.1,NA,8.8,12.8,61.5,150
Pitta novaeguineae,22.45,14.6,6.5,7.9,37.5,98.5
Pitta nympha,24.8,NA,6.9,8.6,40.4,120
Pitta reichenowi,23.4,NA,6.9,8.7,36.3,116
Pitta rosenbergii,NA,NA,NA,NA,NA,NA
Pitta sordida,NA,NA,6.1,8.4,38.8,104.7
Pitta steerii,28,18.1,8.4,10,43.75,114.5
Pitta superba,31.1,NA,8.2,11.3,48.4,124
Pitta versicolor,30.7,NA,7.3,NA,NA,120
Pittasoma michleri,NA,NA,9,8.5,48.15,100
Pittasoma rufopileatum,NA,16.2,7.7,7.9,44.1,90
Pityriasis gymnocephala,36.6,NA,11.15,15.55,27.75,148.5
Platalea ajaja,NA,NA,NA,NA,NA,350
Platalea alba,204.5,179.5,26.25,16.8,139,385.5
Platalea flavipes,193.5,158,25.75,17.55,121.2,376.5
Platalea leucorodia,177.3,NA,27,15.4,132,365
Platalea minor,179.5,160,27.85,15.4,125.5,356.5
Platalea regia,170,NA,26.1,13.8,115,350
Platycercus adscitus,19.4,NA,11,20.4,16,141
Platycercus caledonicus,20.6,NA,12,24,20.5,175
Platycercus elegans,20.15,16.55,12.3,23.95,20.4,171.5
Platycercus eximius,17.9,NA,10.5,19.1,17.2,151
Platycercus icterotis,15.4,12.65,8.6,15.9,16,133.5
Platycercus venustus,18.1,NA,10.9,18.1,17.3,144
Platylophus galericulatus,30.1,NA,8.6,10.7,32.4,136
Platyrinchus albogularis,NA,NA,NA,NA,16.3,52.5
Platyrinchus cancrominus,13,NA,6.7,3.3,16.1,56
Platyrinchus coronatus,NA,7,6.4,3.4,13.2,NA
Platyrinchus flavigularis,13.3,6.35,7.65,3.5,NA,60
Platyrinchus leucoryphus,17.6,NA,7.8,4.3,15.8,76
Platyrinchus mystaceus,13,NA,NA,NA,15.8,55.1
Platyrinchus platyrhynchos,NA,NA,8.85,3.9,13.35,62.5
Platyrinchus saturatus,13.2,NA,7.8,3.5,16.6,55
Platysmurus aterrimus,38.5,27.1,11.5,16.5,35.6,178
Platysmurus leucopterus,35.8,NA,12.3,17.2,36.85,186
Platyspiza crassirostris,17.5,NA,6.45,10.65,27.8,82.5
Platysteira albifrons,16.4,NA,5.9,4,17.3,60.5
Platysteira cyanea,17.95,NA,NA,NA,19.45,64.5
Platysteira laticincta,16.7,NA,6.1,3.7,19.7,67
Platysteira peltata,17.35,NA,5.9,4.05,19,65
Plectorhyncha lanceolata,21.15,NA,3.65,NA,NA,110
Plectrophenax hyperboreus,13.8,9.05,5.3,6.35,21.8,111.5
Plectrophenax nivalis,NA,NA,NA,NA,NA,107
Plectropterus gambensis,74.6,NA,30,25.5,108,520
Plegadis chihi,120.15,NA,10.25,14.1,84.75,243
Plegadis falcinellus,NA,NA,NA,NA,NA,275.5
Plegadis ridgwayi,101.9,90.1,10.6,14.2,74.5,276.5
Plesiodryas albonotata,20.25,11.4,6.7,5.55,21.25,106.5
Plocepasser donaldsoni,20.6,NA,6.6,8.4,22.6,91
Plocepasser mahali,17.55,NA,NA,NA,23.25,98.5
Plocepasser rufoscapulatus,18.7,10.2,5.5,8.2,20.45,95
Plocepasser superciliosus,17.9,NA,NA,NA,21.2,89
Ploceus albinucha,18.6,12.6,6.7,7.3,19.1,80
Ploceus alienus,18,NA,5.8,NA,18.8,68
Ploceus angolensis,17.6,11.1,4.5,5.9,17.1,80
Ploceus aurantius,17.1,NA,4.9,6.2,19.5,72
Ploceus aureonucha,19.1,12.2,5.6,6.2,18.7,79
Ploceus badius,17.2,11.85,5.75,7.55,20.3,73
Ploceus baglafecht,19.9,NA,NA,NA,22.9,79
Ploceus bannermani,20.7,11.85,6.45,8.35,23.1,75.5
Ploceus batesi,18,11.2,6,7.5,17.4,72
Ploceus benghalensis,17.1,NA,6.4,8.4,20.4,68
Ploceus bertrandi,20.6,NA,6.9,8.9,23.9,78
Ploceus bicolor,20.6,NA,NA,NA,22.8,84
Ploceus bojeri,17,NA,5.8,7.7,22.3,74
Ploceus brachypterus,NA,NA,NA,NA,NA,NA
Ploceus burnieri,17.9,NA,6,7.8,23.4,73.5
Ploceus capensis,21.6,NA,6.5,7.6,25.9,92
Ploceus castaneiceps,18.25,NA,NA,NA,23.05,73.5
Ploceus castaneofuscus,NA,NA,NA,NA,NA,NA
Ploceus castanops,18.45,12.35,5.35,6.95,22.25,69.5
Ploceus cucullatus,NA,NA,NA,NA,NA,82
Ploceus dichrocephalus,16.45,11.1,5.75,7.25,21,71.5
Ploceus dorsomaculatus,18.6,11.25,5.65,6.9,19.9,80
Ploceus flavipes,18,10.8,5.6,6.3,18.8,77
Ploceus galbula,16.3,NA,6,7.6,19.7,72
Ploceus golandi,16.1,NA,5.6,5.8,20.3,71
Ploceus grandis,28.6,20,8.9,11.8,30.3,106
Ploceus heuglini,17.6,NA,6.6,7.7,18.5,73
Ploceus hypoxanthus,16.95,12,8.05,10.9,20.2,66.5
Ploceus insignis,18.1,NA,NA,NA,19.5,83
Ploceus intermedius,16.7,NA,NA,NA,21.05,69.5
Ploceus jacksoni,15.75,9.95,5.4,6.85,20.05,70.5
Ploceus katangae,15,9.75,5.5,6.85,18.9,65.5
Ploceus luteolus,13.4,NA,4.8,5.6,16.7,62
Ploceus manyar,16.65,11.75,7.3,9.25,20.05,67.5
Ploceus megarhynchus,22.15,15.25,7.3,10.85,24.1,77
Ploceus melanocephalus,16.15,NA,NA,NA,20.95,70
Ploceus melanogaster,19.1,11.7,5.4,6.1,20.35,68.5
Ploceus nelicourvi,17.8,10.65,5.45,7.9,19.9,73
Ploceus nicolli,18.15,NA,4.8,6,18.3,83.5
Ploceus nigerrimus,19.5,NA,NA,NA,22.6,82
Ploceus nigricollis,18,NA,NA,NA,21,NA
Ploceus nigrimentus,21,12.6,5.8,8.5,26.9,87
Ploceus ocularis,20.3,NA,NA,NA,NA,75
Ploceus olivaceiceps,18.1,NA,4.5,5.4,20.1,81
Ploceus pelzelni,16.4,NA,4.4,4.9,18.8,63
Ploceus philippinus,17.8,NA,7.6,9.4,20.6,70
Ploceus preussi,16.5,10.1,5,5.8,16.95,81.5
Ploceus princeps,23.3,NA,6.9,9.4,23.2,83
Ploceus reichardi,15.7,NA,5.6,7.1,20.4,69
Ploceus rubiginosus,17,NA,NA,NA,22.1,80
Ploceus ruweti,14.9,8.7,5.7,7,20.3,69
Ploceus sakalava,17.65,11.95,6.6,9.9,20.8,78.5
Ploceus sanctithomae,19.3,NA,4.3,NA,22.9,79
Ploceus spekei,18.6,NA,6.5,8.1,21.4,80
Ploceus spekeoides,19.6,14.25,6.75,8.95,19.75,70
Ploceus subaureus,17.85,NA,NA,NA,21.35,77
Ploceus subpersonatus,18.1,11.5,5.3,6.2,21.8,67
Ploceus superciliosus,16.7,NA,6.7,9.6,19.6,67
Ploceus taeniopterus,16.6,NA,5.9,7.4,19.9,66
Ploceus temporalis,17.3,11.3,6.4,7.4,21.4,82
Ploceus tricolor,20.2,NA,6.1,6.8,19.6,86
Ploceus upembae,NA,NA,NA,NA,NA,NA
Ploceus velatus,16.6,NA,NA,NA,22.3,79
Ploceus vitellinus,15.45,NA,NA,NA,18.55,68.75
Ploceus weynsi,19,12.35,5.8,6.6,19.7,79
Ploceus xanthops,20.9,NA,6.7,9.2,24.7,91
Ploceus xanthopterus,17.6,NA,5.7,7.5,20.6,69
Pluvialis apricaria,25.5,NA,3.7,5.2,38,180
Pluvialis dominica,NA,NA,NA,NA,NA,178.5
Pluvialis fulva,25.8,NA,4.2,5.1,39.1,160
Pluvialis squatarola,NA,NA,NA,NA,NA,183
Pluvianellus socialis,18.1,NA,3,3.4,19.3,134
Pluvianus aegyptius,23.5,NA,4.6,5.8,34.2,128
Pnoepyga albiventer,12.95,7.15,2.65,3.1,23.15,62
Pnoepyga formosana,NA,NA,2.35,3.1,21.05,53.25
Pnoepyga immaculata,12.55,7.4,2.35,3,21.75,55.75
Pnoepyga pusilla,12.1,NA,2.4,2.5,18.7,50
Podargus ocellatus,33.1,NA,29.8,NA,21,177
Podargus papuensis,51.3,NA,40.2,29.1,30.4,286
Podargus strigoides,42,NA,28.65,20.4,29.05,NA
Podica senegalensis,45.9,NA,5.5,8.3,41.1,189
Podiceps auritus,30.2,NA,4.8,7.2,42.6,138
Podiceps cristatus,57.5,NA,NA,NA,62.2,182
Podiceps gallardoi,22.4,12.6,5.9,5.95,46.55,148.5
Podiceps grisegena,47.7,NA,NA,NA,54.2,168.5
Podiceps juninensis,22.4,NA,5.1,5.8,37,126.1
Podiceps major,76.9,NA,9.3,14.2,67.8,192
Podiceps nigricollis,26.1,NA,5.6,5.8,40.1,127
Podiceps occipitalis,22.1,NA,5.2,5.7,35.7,127
Podiceps taczanowskii,36.7,18.7,6.05,7,45.05,121
Podilymbus podiceps,27.95,NA,NA,10.35,37.85,123.5
Podoces biddulphi,53.6,NA,9.1,10.1,44.8,148
Podoces hendersoni,43.4,NA,10,10,42.6,139
Podoces panderi,33.2,NA,8.3,7.7,40.3,121
Podoces pleskei,40.8,NA,9.05,8.7,43.35,118.5
Poecile atricapillus,NA,NA,NA,NA,16.6,64
Poecile carolinensis,8.6,NA,3.4,3.7,15,59
Poecile cinctus,NA,NA,NA,NA,NA,67
Poecile davidi,9.8,6.7,3.6,4.2,15.9,64
Poecile gambeli,11.85,8.95,3.4,3.8,18.2,68
Poecile hudsonicus,10.1,7.15,3.05,3.55,16.25,65
Poecile hypermelaenus,9,6.85,2.95,3.8,14.7,63.25
Poecile hyrcanus,NA,NA,NA,NA,NA,NA
Poecile lugubris,NA,NA,NA,NA,NA,75
Poecile montanus,NA,NA,NA,NA,NA,65.5
Poecile palustris,NA,NA,NA,NA,NA,63.5
Poecile rufescens,10.85,6.65,2.85,3.15,NA,61.75
Poecile sclateri,10.95,6.95,2.95,4.15,16.8,68
Poecile superciliosus,10.6,6.75,3.7,4.2,18.9,63.5
Poecile weigoldicus,10.3,6.75,2.75,3.3,17.05,60
Poecilodryas brachyura,17.75,10.35,5.8,5.4,19.65,84.5
Poecilodryas cerviniventris,17,NA,5.1,4.4,NA,84
Poecilodryas hypoleuca,17.7,NA,5.1,5.2,17.1,81
Poecilodryas superciliosa,16.1,NA,4.85,NA,NA,77
Poecilotriccus albifacies,9.8,7.3,4.6,2.9,14.5,45.9
Poecilotriccus calopterus,12.45,7.6,4.45,2.7,15.8,47.75
Poecilotriccus capitalis,12.9,8,5.25,3.05,15.95,48
Poecilotriccus fumifrons,13.5,NA,NA,3.3,17.7,44.2
Poecilotriccus latirostris,NA,8.5,4.5,3,18.5,47
Poecilotriccus luluae,13.2,7.65,4.2,2.75,17.6,46
Poecilotriccus plumbeiceps,NA,NA,NA,3.1,18.35,42
Poecilotriccus pulchellus,12.1,7.1,4.3,3.2,14.6,46
Poecilotriccus ruficeps,13.2,NA,NA,NA,16.8,NA
Poecilotriccus russatus,13.65,8.3,4.45,3.1,18.75,48.25
Poecilotriccus senex,12,7.65,4.55,3.15,18.5,45.65
Poecilotriccus sylvia,14.2,NA,NA,NA,19.4,46
Poeoptera femoralis,16.7,NA,NA,NA,22.4,97
Poeoptera kenricki,NA,NA,NA,NA,20,101
Poeoptera lugubris,16.5,NA,4.8,4.3,18.9,89
Poeoptera stuhlmanni,18.6,NA,5.2,5,20.3,103
Poephila acuticauda,11.7,NA,6.45,6.7,NA,59.25
Poephila cincta,10.85,NA,6.1,6.4,NA,58.25
Poephila personata,11.55,NA,6.2,7.3,NA,57.75
Pogoniulus atroflavus,NA,NA,NA,NA,NA,58
Pogoniulus bilineatus,NA,NA,NA,NA,NA,58
Pogoniulus chrysoconus,13.8,NA,NA,NA,14.4,57
Pogoniulus coryphaea,10.1,NA,4.3,4.3,13.6,53
Pogoniulus leucomystax,11.7,NA,NA,NA,13.8,55
Pogoniulus makawai,10.4,7.6,5,5.2,13.9,53.8
Pogoniulus pusillus,14,NA,NA,NA,14.8,59
Pogoniulus scolopaceus,NA,NA,NA,NA,NA,53.5
Pogoniulus simplex,9.7,NA,4.3,4.2,12.6,51
Pogoniulus subsulphureus,NA,NA,NA,NA,NA,51
Pogonocichla stellata,NA,NA,NA,NA,NA,80
Pogonornis bidentatus,29.35,NA,NA,NA,25.05,99
Pogonornis dubius,33.2,NA,NA,NA,27.3,110
Pogonornis macclounii,21.9,15.75,9.7,12.15,20.7,85.45
Pogonornis melanopterus,25.6,NA,NA,NA,21.4,93
Pogonornis minor,22,15.4,9.45,12.65,22.6,89.5
Pogonornis rolleti,39.25,29.75,14.95,20.5,27.4,112
Pogonotriccus chapmani,11.75,6.8,3.45,2.9,16.25,56.5
Pogonotriccus eximius,10.9,6.25,3.4,2.85,14.9,53
Pogonotriccus lanyoni,9.3,6.6,2.9,2.4,14.2,50.5
Pogonotriccus ophthalmicus,NA,NA,NA,NA,15.3,60
Pogonotriccus orbitalis,12.25,6.55,NA,2.65,15.25,51
Pogonotriccus poecilotis,11.1,NA,NA,NA,15.85,57.05
Pogonotriccus venezuelanus,NA,NA,NA,NA,14.3,NA
Poicephalus crassus,29.6,NA,14.8,27,17.6,164
Poicephalus cryptoxanthus,25.4,NA,13.8,23.7,15.9,157
Poicephalus flavifrons,30.8,NA,17.2,28.6,18.5,175
Poicephalus fuscicollis,48.75,40.5,24.15,42.9,22.05,205.5
Poicephalus gulielmi,NA,NA,NA,NA,19.7,205
Poicephalus meyeri,25.3,NA,12.9,22.4,16.1,148
Poicephalus robustus,41.5,NA,20,36.4,20.6,212
Poicephalus rueppellii,25.8,NA,13.1,25.1,15.8,147
Poicephalus rufiventris,24.6,NA,NA,NA,17,154
Poicephalus senegalus,27.2,NA,NA,NA,17.5,156
Poikilocarbo gaimardi,65.1,47.65,8.75,12.45,53.3,246
Polemaetus bellicosus,56.2,NA,17,28.6,112,555
Polihierax insignis,18.1,NA,8.7,11.3,35.6,142
Polihierax semitorquatus,14.8,NA,7,9,27.3,116
Poliocephalus poliocephalus,24.25,10.85,3.7,6.35,35.1,110
Poliocephalus rufopectus,26.8,11.4,4.2,6.4,36.1,112
Poliocrania exsul,NA,NA,5,5.1,NA,66.5
Poliocrania maculifer,NA,NA,NA,NA,27,62.75
Poliolais lopezi,14.8,NA,2.8,2.9,20.9,51
Poliolophus urostictus,15.2,NA,4,4.2,16.2,81
Polioptila albiloris,13.55,8.7,2.95,2.7,16.6,48.5
Polioptila caerulea,11.75,NA,2.8,2.3,16,51.5
Polioptila californica,10.7,NA,2.1,2.4,16.9,47
Polioptila dumicola,12.85,NA,2.6,2.35,18.25,50
Polioptila guianensis,11.2,7.1,2.8,2.4,15.4,44
Polioptila lactea,12.1,7.4,2.4,2.25,16.15,45
Polioptila lembeyei,10.7,6.85,2.5,2.1,14.85,40.5
Polioptila maior,NA,NA,NA,NA,NA,NA
Polioptila melanura,10.7,6.55,2.55,2.5,16.05,48
Polioptila nigriceps,11.55,7.65,2.95,2.25,17.8,47.75
Polioptila plumbea,NA,NA,NA,NA,NA,46
Polioptila schistaceigula,11.65,7.1,2.9,2.45,14.8,45.15
Polioxolmis rufipennis,25.35,NA,NA,NA,28.1,128.5
Polyboroides radiatus,36,NA,10.1,16.8,92.7,393
Polyboroides typus,39.6,NA,NA,NA,89,448
Polyonymus caroli,23.5,NA,2.3,2,6.5,64
Polyplectron bicalcaratum,23.1,11.85,7.1,NA,65.95,199
Polyplectron chalcurum,20.3,9.5,5.85,6.5,59.7,NA
Polyplectron germaini,23.7,NA,6.5,7,60.2,191
Polyplectron inopinatum,24.4,11.95,6.35,6.9,65.45,186.5
Polyplectron katsumatae,24.05,10.25,5.5,6.7,56.2,162.15
