Group.1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length
Alectroenas pulcherrimus,19.9,NA,4.5,NA,24.7,160
Alectroenas sganzini,18.7,NA,4.6,4.3,25,165
Alectrurus risora,17.95,9.6,6.25,4.6,23.2,73.5
Alectrurus tricolor,14.9,NA,5.8,5,19.8,69
Alectura lathami,37.35,21.5,12.05,17.75,81.9,295.5
Alethe castanea,18.85,11.55,5.5,5.35,25.85,90.9
Alethe diademata,NA,NA,NA,NA,NA,NA
Alexandrinus eques,28,23,15.1,22.85,18.25,176.5
Alexandrinus krameri,25.8,NA,14.9,20.6,14.1,153
Alipiopsitta xanthops,33.75,26.65,16.85,24.75,19.6,198
Alisterus amboinensis,28.4,21.75,14.1,22.15,22.3,205.5
Alisterus chloropterus,26.8,NA,13.3,NA,20.5,181
Alisterus scapularis,26.6,NA,13.3,20.1,21.3,211
Alle alle,20.05,NA,7.75,8.5,19.65,116.5
Allenia fusca,22,12.55,4.85,5.7,29.25,122.5
Alopecoenas beccarii,15.85,9.1,2,2.8,27.45,104.5
Alopecoenas canifrons,20.6,9.7,2.8,3.7,30.9,113
Alopecoenas erythropterus,20.9,11.15,3.6,4.35,31.75,141
Alopecoenas hoedtii,19.1,9,3.7,4.5,27.4,151
Alopecoenas jobiensis,17.5,NA,3.5,4.3,26.9,144
Alopecoenas johannae,17.4,8.3,2.75,3.7,26.05,105.35
Alopecoenas kubaryi,21,11.3,3.25,4.75,32.25,147
Alopecoenas rubescens,17.2,NA,3,3.7,29.4,122
Alopecoenas sanctaecrucis,20.3,9.8,3,3.9,23.5,126
Alopecoenas stairi,22.25,12.5,3.4,4.4,31.45,146.5
Alopecoenas xanthonurus,20.1,NA,3.9,4.6,30.1,143
Alophoixus bres,20.6,NA,4.7,6.5,19.6,100
Alophoixus flaveolus,20.25,NA,5.5,7.25,20.2,101.5
Alophoixus frater,NA,NA,NA,NA,NA,NA
Alophoixus griseiceps,19.7,NA,5.3,7,18.6,92
Alophoixus ochraceus,21,NA,5,7.1,20.1,102
Alophoixus pallidus,20.2,12.15,4.55,7.4,20.4,103.25
Alophoixus phaeocephalus,NA,NA,5.4,6.5,20.45,95
Alophoixus ruficrissus,NA,NA,NA,NA,NA,NA
Alophoixus tephrogenys,23.1,14.8,5.8,7.2,19.7,105
Alopochelidon fucata,9.5,NA,NA,NA,11.1,99.4
